Community ID,Community Area,Percent income below poverty level,Percent foreign born,Percent HS Grad or Higher,Percent with a BA or Higher,Owned houses,Median Income
49,Roseland,23.20%,1.80%,86.20%,21.40%,52.90%,"43,957"
50,Pullman,17.90%,3.30%,89.20%,30.40%,50.00%,"47,908"
51,South Deering,32.90%,10.00%,80.40%,17.60%,51.30%,"30,115"
52,East Side,14.50%,24.80%,72.40%,12.30%,70.70%,"51,722"
53,West Pullman,22.40%,4.20%,85.90%,17.10%,62.90%,"46,271"
54,Riverdale,47.90%,0.80%,86.10%,6.60%,8.40%,"19,609"
55,Hegewisch,15.80%,16.20%,81.90%,16.30%,75.50%,"57,577"
56,Garfield Ridge,8.40%,22.30%,82.70%,22.30%,84.90%,"78,910"
57,"Archer Heights,",11.00%,38.30%,70.70%,10.50%,64.40%,"48,704"
58,Brighton Park,20.40%,41.00%,66.00%,11.30%,50.10%,"45,712"
59,McKinley Park,13.00%,39.90%,76.80%,25.50%,65.70%,"61,512"
60,Bridgeport,14.50%,34.90%,80.90%,36.60%,49.00%,"58,458"
61,New City,29.10%,27.20%,69.40%,9.30%,34.00%,"35,396"
62,West Elsdon,11.50%,35.40%,74.00%,15.50%,70.30%,"53,771"
63,Gage Park,17.00%,35.70%,67.40%,8.60%,53.70%,"42,129"
64,Clearing,8.10%,19.70%,87.80%,21.70%,69.30%,"57,885"
65,West Lawn,17.40%,33.60%,71.80%,12.70%,68.60%,"54,341"
66,Chicago Lawn,22.60%,24.60%,74.70%,8.40%,43.30%,"36,165"
67,West Englewood,31.00%,4.60%,80.50%,10.80%,45.10%,"26,290"
68,Englewood,41.10%,3.20%,76.30%,9.00%,23.90%,"21,981"
69,Greater Grand Crossing,33.40%,1.30%,86.50%,19.20%,33.20%,"30,096"
70,Ashburn,13.40%,17.30%,82.20%,20.20%,84.70%,"71,366"
71,Auburn Gresham,25.10%,2.90%,85.00%,15.90%,45.30%,"37,332"
72,Beverly,6.30%,3.70%,97.50%,57.20%,84.30%,"108,694"
73,Washington Heights,20.00%,0.80%,88.60%,26.20%,69.90%,"53,182"
74,Mount Greenwood,4.60%,3.80%,95.30%,40.10%,82.70%,"97,101"
75,Morgan Park,11.50%,3.50%,93.70%,39.30%,70.40%,"63,517"
76,O'Hare,10.80%,56.70%,91.70%,42.30%,38.30%,"60,532"
77,Edgewater,14.80%,27.90%,90.80%,57.50%,35.50%,"58,037"
